sample_id,year_pillar,month_pillar,day_pillar,hour_pillar,v1_current_strong,v2_month_branch_boost_strong,v1_current,v2_month_branch_boost,hidden_blend_0.4_strong,hidden_blend_0.4,hidden_blend_0.5_strong,hidden_blend_0.5,hidden_blend_0.6_strong,hidden_blend_0.6
S01,辛未,戊戌,甲子,戊辰,earth,earth,"{""wood"": 15, ""fire"": 0, ""earth"": 60, ""metal"": 15, ""water"": 10}","{""wood"": 14, ""fire"": 0, ""earth"": 63, ""metal"": 14, ""water"": 9}",earth,"{""wood"": 13, ""fire"": 1, ""earth"": 62, ""metal"": 13, ""water"": 11}",earth,"{""wood"": 13, ""fire"": 1, ""earth"": 61, ""metal"": 13, ""water"": 12}",earth,"{""wood"": 13, ""fire"": 1, ""earth"": 62, ""metal"": 12, ""water"": 12}"
S02,癸酉,甲寅,癸亥,戊午,water,water,"{""wood"": 25, ""fire"": 10, ""earth"": 15, ""metal"": 10, ""water"": 40}","{""wood"": 32, ""fire"": 9, ""earth"": 14, ""metal"": 9, ""water"": 36}",water,"{""wood"": 31, ""fire"": 10, ""earth"": 14, ""metal"": 11, ""water"": 34}",water,"{""wood"": 31, ""fire"": 11, ""earth"": 13, ""metal"": 11, ""water"": 34}",water,"{""wood"": 30, ""fire"": 11, ""earth"": 13, ""metal"": 12, ""water"": 34}"
S03,戊辰,戊午,己未,丙子,earth,earth,"{""wood"": 0, ""fire"": 25, ""earth"": 65, ""metal"": 0, ""water"": 10}","{""wood"": 0, ""fire"": 32, ""earth"": 59, ""metal"": 0, ""water"": 9}",earth,"{""wood"": 1, ""fire"": 30, ""earth"": 58, ""metal"": 0, ""water"": 11}",earth,"{""wood"": 1, ""fire"": 30, ""earth"": 57, ""metal"": 0, ""water"": 12}",earth,"{""wood"": 1, ""fire"": 30, ""earth"": 57, ""metal"": 0, ""water"": 12}"
S04,己卯,丙子,戊午,壬子,water,water,"{""wood"": 10, ""fire"": 25, ""earth"": 31, ""metal"": 0, ""water"": 34}","{""wood"": 9, ""fire"": 23, ""earth"": 28, ""metal"": 0, ""water"": 40}",water,"{""wood"": 11, ""fire"": 22, ""earth"": 26, ""metal"": 0, ""water"": 41}",water,"{""wood"": 11, ""fire"": 22, ""earth"": 25, ""metal"": 0, ""water"": 42}",water,"{""wood"": 12, ""fire"": 22, ""earth"": 24, ""metal"": 0, ""water"": 42}"
S05,乙丑,戊子,甲辰,庚午,earth,earth,"{""wood"": 31, ""fire"": 10, ""earth"": 34, ""metal"": 15, ""water"": 10}","{""wood"": 28, ""fire"": 9, ""earth"": 31, ""metal"": 14, ""water"": 18}",earth,"{""wood"": 25, ""fire"": 10, ""earth"": 33, ""metal"": 13, ""water"": 19}",earth,"{""wood"": 25, ""fire"": 10, ""earth"": 33, ""metal"": 12, ""water"": 20}",earth,"{""wood"": 24, ""fire"": 10, ""earth"": 34, ""metal"": 12, ""water"": 20}"
S06,己未,己巳,乙酉,甲申,earth,earth,"{""wood"": 31, ""fire"": 10, ""earth"": 40, ""metal"": 19, ""water"": 0}","{""wood"": 28, ""fire"": 18, ""earth"": 36, ""metal"": 18, ""water"": 0}",earth,"{""wood"": 25, ""fire"": 18, ""earth"": 35, ""metal"": 21, ""water"": 1}",earth,"{""wood"": 24, ""fire"": 18, ""earth"": 35, ""metal"": 22, ""water"": 1}",earth,"{""wood"": 24, ""fire"": 18, ""earth"": 35, ""metal"": 22, ""water"": 1}"
S07,己卯,癸酉,甲子,庚午,wood,metal,"{""wood"": 25, ""fire"": 10, ""earth"": 15, ""metal"": 25, ""water"": 25}","{""wood"": 23, ""fire"": 9, ""earth"": 14, ""metal"": 31, ""water"": 23}",metal,"{""wood"": 23, ""fire"": 10, ""earth"": 13, ""metal"": 31, ""water"": 23}",metal,"{""wood"": 23, ""fire"": 10, ""earth"": 13, ""metal"": 31, ""water"": 23}",metal,"{""wood"": 23, ""fire"": 10, ""earth"": 13, ""metal"": 31, ""water"": 23}"
S08,乙亥,庚辰,戊子,乙卯,wood,wood,"{""wood"": 41, ""fire"": 0, ""earth"": 25, ""metal"": 15, ""water"": 19}","{""wood"": 36, ""fire"": 0, ""earth"": 32, ""metal"": 14, ""water"": 18}",wood,"{""wood"": 37, ""fire"": 0, ""earth"": 30, ""metal"": 12, ""water"": 21}",wood,"{""wood"": 37, ""fire"": 0, ""earth"": 29, ""metal"": 12, ""water"": 22}",wood,"{""wood"": 37, ""fire"": 0, ""earth"": 29, ""metal"": 12, ""water"": 22}"
S09,戊申,乙卯,己丑,丙子,earth,earth,"{""wood"": 25, ""fire"": 15, ""earth"": 40, ""metal"": 10, ""water"": 10}","{""wood"": 32, ""fire"": 14, ""earth"": 36, ""metal"": 9, ""water"": 9}",earth,"{""wood"": 31, ""fire"": 12, ""earth"": 35, ""metal"": 10, ""water"": 12}",earth,"{""wood"": 31, ""fire"": 12, ""earth"": 34, ""metal"": 10, ""water"": 13}",earth,"{""wood"": 30, ""fire"": 12, ""earth"": 34, ""metal"": 11, ""water"": 13}"
S10,壬子,丙午,癸未,壬子,water,water,"{""wood"": 0, ""fire"": 25, ""earth"": 10, ""metal"": 0, ""water"": 65}","{""wood"": 0, ""fire"": 32, ""earth"": 9, ""metal"": 0, ""water"": 59}",water,"{""wood"": 0, ""fire"": 30, ""earth"": 11, ""metal"": 0, ""water"": 59}",water,"{""wood"": 0, ""fire"": 30, ""earth"": 11, ""metal"": 0, ""water"": 59}",water,"{""wood"": 0, ""fire"": 30, ""earth"": 12, ""metal"": 0, ""water"": 58}"
